id;site;xx;template;engine
1893;:za:COO:Employee Experience:Microsoft Exchange:UTR05713;15;_-new-template_-discovery-scan-with-credentials-copy;
1894;:za:COO:Data and Analytics:Big Data - Hadoop:UTR00716;15;_-new-template_-discovery-scan-with-credentials-copy;
1895;:za:COO:Employee Experience:Citrix Remote Access (VPN):UTR06537;15;_-new-template_-discovery-scan-with-credentials-copy;
1896;:za:COO:Data and Analytics:SAS - Advanced Analytics Enablement:UTR06842;15;_-new-template_-discovery-scan-with-credentials-copy;
1897;:za:COO:Data and Analytics:Elastic Stack:UTR06183;15;_-new-template_-discovery-scan-with-credentials-copy;
1898;:za:COO:IT Security:CyberArk:UTR07135;15;_-new-template_-discovery-scan-with-credentials-copy;
1899;:za:COO:Data and Analytics:MDM - Master Data Management:UTR03352;15;_-new-template_-discovery-scan-with-credentials-copy;
1900;:za:COO:Data and Analytics:Master Reference Information (SA RDM):UTR03352;15;_-new-template_-discovery-scan-with-credentials-copy;
1901;:za:COO:Data and Analytics:Ab Initio:UTR06122;15;_-new-template_-discovery-scan-with-credentials-copy;
1902;:gh:COO:Data and Analytics:Cognos:UTR06154;19;authentication-test-ssh;
1903;:mw:COO:IT Security:CyberArk:UTR07135;18;authentication-test-ssh;
1904;:zm:COO:Data and Analytics:Attunity:UTR06517;36;authentication-test-ssh;
1905;:ke:COO:Data and Analytics:Qlik Kenya:UTR06173;48;authentication-test-ssh;
1906;:ao:COO:Data and Analytics:Qlikview:UTR06173;52;authentication-test-ssh;
1907;:za:COO:Data and Analytics:Data Asset Management:UTR06937;15;_-new-template_-discovery-scan-with-credentials-copy;
1908;:za:COO:Data and Analytics:Qlikview:UTR06173;15;_-new-template_-discovery-scan-with-credentials-copy;
1909;:za:COO:Employee Experience:Striata:UTR05800;15;_-new-template_-discovery-scan-with-credentials-copy;
1910;:za:COO:Data and Analytics:Cognos:UTR06154;15;_-new-template_-discovery-scan-with-credentials-copy;
1911;:za:COO:Data and Analytics:PowerDesigner:UTR02551;15;_-new-template_-discovery-scan-with-credentials-copy;
1912;:bw:COO:IT Security:CyberArk:UTR07135;76;authentication-test-ssh;
1913;:bw:COO:Data and Analytics:Cognos:UTR06154;76;authentication-test-ssh;
1914;:mw:COO:Data and Analytics:Qlik:UTR06173;18;authentication-test-ssh;
1915;:zm:COO:IT Security:CyberArk:UTR07135;36;authentication-test-ssh;
1916;:gh:COO:IT Security:CyberArk:UTR07135;19;authentication-test-ssh;
1917;:tz:COO:Data and Analytics:Cognos:UTR06154;39;authentication-test-ssh;
1918;:zm:COO:Data and Analytics:Cognos:UTR06154;36;authentication-test-ssh;
1919;:mw:COO:Data and Analytics:Attunity:UTR06517;18;authentication-test-ssh;
1920;:za:CIB:Global Markets:OST - Online Share Trading:UTR06229;15;_-new-template_-discovery-scan-with-credentials-copy;
