id;site;xx;template;engine
2081;:ci:PPB:IT Security:Active Directory South Africa:UTR07119;73;authentication-test-ssh;
2082;:sz:PPB:IT Security:Active Directory South Africa:UTR07119;26;authentication-test-ssh;
2083;:zm:PPB:IT Security:Active Directory South Africa:UTR07119;36;authentication-test-ssh;
2084;:cd:PPB:IT Security:Active Directory South Africa:UTR07119;31;authentication-test-ssh;
2085;:mw:PPB:IT Security:Active Directory:UTR07119;18;authentication-test-ssh;
2086;:mw:PPB:IT Security:Active Directory South Africa:UTR07119;18;authentication-test-ssh;
2087;:mz:PPB:IT Security:Active Directory South Africa:UTR07119;59;authentication-test-ssh;
2088;:ke:PPB:IT Security:Active Directory South Africa:UTR07119;48;authentication-test-ssh;
2089;:ke:PPB:IT Security:Active Directory:UTR07119;48;authentication-test-ssh;
2090;:na:PPB:IT Security:Active Directory South Africa:UTR07119;123;authentication-test-ssh;
2091;:cd:PPB:IT Security:Websense / Forcepoint:UTR05481;31;authentication-test-ssh;
2092;:cd:PPB:Payments:Montran MPS:UTR02213;31;authentication-test-ssh;
2093;:cd:PPB:Infrastructure Production Services:IBM Integration Bus RDC:UTR01951;31;authentication-test-ssh;
2094;:cd:PPB:Core Banking:Datastore DSX:UTR05375;31;authentication-test-ssh;
2095;:zm:PPB:Everyday Banking:Sparrow:UTR05138;36;authentication-test-ssh;
2096;:za:PPB:Standard Bank Financial Consultancy:Elite Wealth:UTR06488;15;_-new-template_-discovery-scan-with-credentials-copy;
2097;:tz:PPB:Africa Regions:Finacle Mobile Banking (USSD):UTR05479;39;authentication-test-ssh;
2098;:tz:PPB:Infrastructure Production Services:GCE - Generic Communications Engine:UTR05484;39;authentication-test-ssh;
2099;:tz:PPB:IT Security:EPO - McAfee Epolicy Orchestrator:UTR05390;39;authentication-test-ssh;
2100;:tz:PPB:IT Security:Active Directory:UTR07119;39;authentication-test-ssh;
2101;:sz:PPB:IT Security:Active Directory:UTR07119;26;authentication-test-ssh;
2102;:sz:PPB:Core Banking:Datastore DSX:UTR05375;26;authentication-test-ssh;
2104;:sz:PPB:IT Security:McAfee:UTR05389;26;authentication-test-ssh;
2105;:sz:PPB:Infrastructure Production Services:IBM MQFTE Swaziland:UTR03405;26;authentication-test-ssh;
2106;:zw:PPB:IT Security:McAfee:UTR05389;41;authentication-test-ssh;
2107;:gh:PPB:Africa Regions:Blueflow:UTR06692;19;authentication-test-ssh;
2108;:gh:PPB:Africa Regions:Finacle Finteller:UTR04828;19;authentication-test-ssh;
2109;:gh:PPB:Africa Regions:Finacle Core Banking:UTR05463;19;authentication-test-ssh;
2110;:gh:PPB:Credit:Finacle Collections Module:UTR06685;19;authentication-test-ssh;
2111;:gh:PPB:Africa Regions:Online Banking (Finacle E-Banking / OCH):UTR04830;19;authentication-test-ssh;
2112;:gh:PPB:ROA:FAS - Finacle Alert Server:UTR05461;19;authentication-test-ssh;
2113;:gh:PPB:Core Banking:TBMS-F:UTR05559;19;authentication-test-ssh;
2114;:gh:PPB:Africa Regions:Finacle Mobile Banking (USSD):UTR05479;19;authentication-test-ssh;
2115;:gh:PPB:Payments:FDC - Finacle Digital Commerce Findoot:UTR04824;19;authentication-test-ssh;
2116;:za:PPB:IT Security:McAfee Antivirus Enterprise:UTR05389;15;_-new-template_-discovery-scan-with-credentials-copy;
2117;:ke:PPB:IT Security:Websense / Forcepoint:UTR05481;48;authentication-test-ssh;
2118;:ke:PPB:IT Security:ForcePoint DLP:UTR07106;48;authentication-test-ssh;
2119;:za:PPB:IT Security:ForcePoint DLP:UTR07106;15;_-new-template_-discovery-scan-with-credentials-copy;
2120;:ke:PPB:IT Security:MFA - Multi Factor Authentication:UTR05901;48;authentication-test-ssh;
2121;:ke:PPB:Africa Regions:Online Banking Kenya (Finacle E-Banking / OCH):UTR04830;48;authentication-test-ssh;
2122;:ke:PPB:Payments:Sybrin:UTR05557;48;authentication-test-ssh;
2123;:za:PPB:IT Security:Websense / Forcepoint:UTR05481;15;_-new-template_-discovery-scan-with-credentials-copy;
2124;:ke:PPB:Core Banking:Datastore DSX:UTR05375;48;authentication-test-ssh;
2125;:ke:PPB:IT Security:McAfee:UTR05389;48;authentication-test-ssh;
2126;:ke:PPB:Integration Platforms:Connect Direct Kenya:UTR06539;48;authentication-test-ssh;
2127;:ke:PPB:Client Coverage:ATM Application:UTR01039;48;authentication-test-ssh;
2128;:ao:PPB:IT Security:Active Directory:UTR07119;52;authentication-test-ssh;
2129;:za:PPB:IT Security:Checkpoint Firewalls:UTR02281;15;_-new-template_-discovery-scan-with-credentials-copy;
2130;:ao:PPB:IT Security:McAfee:UTR05389;52;authentication-test-ssh;
2131;:tz:PPB:IT Security:Websense / Forcepoint:UTR05481;39;authentication-test-ssh;
2132;:tz:PPB:Core Banking:TBMS-F:UTR05559;39;authentication-test-ssh;
2133;:tz:PPB:ROA:FAS - Finacle Alert Server:UTR05461;39;authentication-test-ssh;
2134;:tz:PPB:Africa Regions:Finacle Finteller:UTR04828;39;authentication-test-ssh;
2135;:tz:PPB:Africa Regions:Finacle Core Banking:UTR05463;39;authentication-test-ssh;
2136;:tz:PPB:Africa Regions:Finacle Moby Banker:UTR05354;39;authentication-test-ssh;
2137;:tz:PPB:Africa Regions:Online Banking (Finacle E-Banking / OCH):UTR04830;39;authentication-test-ssh;
2138;:tz:PPB:Infrastructure Production Services:IBM MQFTE Tanzania:UTR03405;39;authentication-test-ssh;
2139;:ao:PPB:Payments:GPOD - Generic Proof of Deposit:UTR05488;52;authentication-test-ssh;
2140;:za:PPB:Infrastructure Production Services:Signplus:UTR06846;15;_-new-template_-discovery-scan-with-credentials-copy;
2141;:za:PPB:Infrastructure Production Services:GCE - Generic Communications Engine:UTR05484;15;_-new-template_-discovery-scan-with-credentials-copy;
2142;:za:PPB:Infrastructure Production Services:Integration Platform (ESB):UTR02279;15;_-new-template_-discovery-scan-with-credentials-copy;
2143;:za:PPB:IT Security:Azure Application Proxy:UTR06983;15;_-new-template_-discovery-scan-with-credentials-copy;
2144;:za:PPB:Payments:Payments Modernization:UTR06959;15;_-new-template_-discovery-scan-with-credentials-copy;
2145;:za:PPB:Credit:PCCM - PowerCurve Customer Management:UTR03274;15;_-new-template_-discovery-scan-with-credentials-copy;
2146;:za:PPB:IT Security:Forcepoint DLP:UTR07106;15;_-new-template_-discovery-scan-with-credentials-copy;
